name,capital,date,time,lastquote,lastabs,lastrel,bid,offer,low,high,dayvol,pe,yield
DONTNOD Entertainment SA,691700000.0,2019-01-02,16:18:04,14.82,0.02,0.0015,14.75,14.85,14.7,15.0,795.0,33.37,nan
Drone Volt SA,60000000.0,2019-01-02,17:35:13,0.21,0.0,0.0098,0.2,0.22,0.2,0.22,430496.0,2.03,nan
EasyVista SA,596700000.0,2019-01-02,09:00:15,36.8,0.0,0.0,33.0,37.0,36.8,36.8,1.0,17.61,nan
Egide SA,110200000.0,2019-01-02,16:57:34,1.41,0.01,0.0072,1.36,1.42,1.37,1.41,2640.0,28.1,nan
Ekinops SA,572500000.0,2019-01-02,17:16:38,2.64,0.03,0.009399999999999999,2.64,2.67,2.61,2.68,31813.0,7.75,nan
Enensys Technologies SA,194700000.0,2019-01-02,10:11:47,3.66,0.13,0.0368,3.42,3.75,3.53,3.66,459.0,8.59,nan
Entreparticuliers SA,23000000.0,2019-01-02,09:00:15,0.65,0.0,0.0,0.64,0.69,0.65,0.65,1.0,2.26,nan
Envea SA,823199999.9999999,2019-01-02,16:07:23,52.0,0.4,0.0078000000000000005,51.8,52.0,51.6,52.0,82.0,15.71,0.0126
Equipements Audiovisuels &Systemes,nan,NULL,,11.31,nan,nan,9.31,13.9,NULL,NULL,nan,nan,nan
Esi Group SA,1557000000.0,2019-01-02,17:30:56,27.15,0.6,0.0216,26.65,27.45,27.1,27.8,956.0,64.64,nan
Esker SA,3185000000.0,2019-01-02,17:35:19,59.4,0.9,0.0154,57.7,59.6,57.7,59.4,1248.0,48.69,0.0055000000000000005
Eutelsat Communications,40000000000.0,2019-01-02,17:35:24,17.63,0.42,0.024399999999999998,17.5,17.72,16.99,17.73,481401.0,14.12,0.0738
FILAE SA,70700000.0,2019-01-02,16:30:06,5.9,1.8,0.439,4.1,7.0,5.9,5.9,300.0,11.27,nan
Focus Home Interactive SA,1201000000.0,2019-01-02,17:28:55,22.4,0.5,0.0218,22.4,22.7,22.3,23.0,1052.0,15.34,0.024900000000000002
Gemalto NV,46000000000.0,NULL,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,0.0054
Generix Group FCE,719599999.9999999,2019-01-02,16:02:20,3.18,0.07,0.0215,3.16,3.2,3.16,3.2,5664.0,318.0,nan
Gérard Perrier Industrie,1669000000.0,2019-01-02,17:22:47,45.1,0.2,0.0044,45.1,45.3,45.1,45.4,261.0,13.83,0.0382
Green Energy 4 Seasons SA,nan,2019-01-02,11:30:21,2.9,0.0,0.0,2.7,3.98,2.9,2.9,80.0,nan,nan
Groupe Gorge SA,1135000000.0,2019-01-02,17:35:06,8.3,0.11,0.0131,8.3,8.32,8.26,8.42,2461.0,6.95,0.038
Groupe Open SA,1653000000.0,2019-01-02,17:35:06,19.8,0.0,0.0,19.48,19.8,18.92,19.8,6085.0,14.67,0.0212
Groupe Plus Values,nan,NULL,,0.01,nan,nan,0.0,0.01,NULL,NULL,nan,0.93,nan
Guillemot Corp SA,503100000.0,2019-01-02,17:35:17,3.24,0.06,0.0182,3.22,3.38,3.22,3.32,8472.0,2.81,nan
Harvest SA,1140000000.0,2019-01-02,09:00:17,86.0,0.5,0.0058,85.5,86.0,86.0,86.0,1.0,37.39,0.020499999999999997
HF Co,175700000.0,2019-01-02,17:35:09,5.48,0.08,0.0144,5.32,5.5,5.32,5.56,533.0,19.57,0.08990000000000001
Hipay Group SA,395400000.0,2019-01-02,17:35:08,8.68,0.7,0.0877,8.0,8.68,7.98,8.68,2189.0,9.43,nan
HiTechPros SA,241600000.0,2019-01-02,11:30:16,14.6,0.1,0.0068000000000000005,14.6,15.6,14.6,14.6,299.0,11.23,0.085
Holosfind,nan,2017-06-30,10:31:15,0.02,0.0,0.0,0.02,0.03,0.02,0.03,516500.0,0.4,nan
Horizontal Software SA,20400000.0,2019-01-02,16:43:55,0.95,0.05,0.0452,0.91,0.95,0.87,1.0,2956.0,0.4,nan
Hubwoo,182800000.0,2019-01-02,10:42:00,0.14,0.01,0.037000000000000005,0.14,0.16,0.14,0.14,64619.0,15.91,nan
Hydro Exploitations SA,nan,2018-11-13,03:00:56,59.0,0.5,0.0084,58.0,59.0,59.0,59.0,2.0,nan,0.0308
i2S Corp SA,46500000.0,2018-12-19,03:01:10,2.7,0.0,0.0,2.12,2.68,2.7,2.7,10.0,7.88,nan
IDS,nan,2019-01-02,16:30:18,0.66,0.01,0.0076,0.52,0.66,0.66,0.66,5.0,nan,0.0862
IGE Plus XAO SA,1690000000.0,2019-01-02,17:35:16,130.5,0.5,0.0038,120.0,139.5,130.5,139.5,9.0,28.94,0.0118
Immersion SA,38600000.0,2018-12-14,03:01:07,3.12,0.0,0.0,0.14,3.9,3.12,3.12,120.0,13.55,nan
Infoclip,nan,2019-01-01,03:01:09,1.7,0.0,0.0,1.4,1.75,1.7,1.7,90.0,nan,nan
Infotel SA,2555000000.0,2019-01-02,17:35:13,37.75,0.65,0.0169,37.75,37.95,37.0,38.4,2325.0,15.93,0.029900000000000003
Innelec Multimedia SA,112200000.0,2019-01-02,13:27:13,4.25,0.17,0.0417,4.2,4.25,4.2,4.3,965.0,2.08,0.049
Inside Secure,606100000.0,2019-01-02,17:35:18,1.41,0.03,0.024700000000000003,1.39,1.43,1.3,1.43,259806.0,nan,nan
Intrasense,352080.0,2019-01-02,16:27:28,0.2,0.01,0.0291,0.2,0.2,0.19,0.2,52203.0,0.17,nan
Iscool Entertainment SA,nan,NULL,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,nan
IT Link,109800000.0,2019-01-02,16:12:24,6.92,0.22,0.032799999999999996,6.86,7.1,6.64,7.08,1332.0,12.14,nan
Itesoft,218200000.0,2019-01-02,17:35:16,3.64,0.08,0.0215,2.48,3.7,3.64,3.72,512.0,9.1,0.0438
ITS Group,351900000.0,2019-01-02,09:00:13,4.52,0.0,0.0,4.5,4.74,4.52,4.52,1.0,11.89,0.0265
Kalray SA,496500000.0,2019-01-02,11:36:59,11.55,0.1,0.0087,11.45,11.55,11.55,11.55,61.0,nan,nan
Kerlink SA,181900000.0,2019-01-02,17:24:45,3.43,0.15,0.04190000000000001,3.41,3.67,3.34,3.6,9041.0,51.14,nan
Keyrus,719000000.0,2019-01-02,17:35:17,4.55,0.0,0.0,4.4,4.57,4.33,4.7,6923.0,10.11,nan
Lacroix SA,685200000.0,2019-01-02,17:25:01,19.55,0.35,0.0182,19.3,19.6,19.3,19.8,670.0,8.32,0.0313
Lectra,5777000000.0,2019-01-02,17:35:41,18.06,0.12,0.0066,16.8,18.9,17.88,18.58,60280.0,20.29,0.0209
Lexibook Linguistic Electronic System SA,57300000.00000001,2019-01-02,17:35:04,0.87,0.03,0.031,0.78,0.84,0.76,0.87,12546.0,7.87,nan
Linedata Services,2110000000.0,2019-01-02,17:35:00,33.0,1.5,0.047599999999999996,32.8,33.0,31.3,33.05,1156.0,12.01,0.0429
Locasystem international SA,nan,2017-08-26,03:01:06,3.0,0.32,0.0964,1.0,8.0,3.5,3.5,1.0,3.68,0.1429
Logic Instrument SA,51700000.0,2019-01-02,17:35:04,0.64,0.04,0.0669,0.6,0.64,0.56,0.64,14807.0,6.76,nan
Lucibel SA,156300000.0,2019-01-02,17:05:58,1.1,0.01,0.0108,1.07,1.1,1.06,1.13,4287.0,6.11,nan
M2i SAS,235300000.0,NULL,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,nan
Magillem Design Services,nan,2018-12-29,03:01:06,7.0,0.0,0.0,7.2,13.9,7.0,7.0,36.0,nan,0.07429999999999999
Mecelec Composites SA,48800000.0,2019-01-02,10:39:05,1.22,0.01,0.0083,1.21,1.22,1.21,1.22,41.0,8.29,nan
Medasys,325800000.0,2019-01-02,16:56:36,0.29,0.0,0.0,0.29,0.29,0.29,0.29,1707.0,4.85,nan
Media Lab SpA,nan,2018-12-19,03:00:53,3.48,0.01,0.0029,3.48,3.48,3.48,3.48,500.0,nan,nan
Memscap SA,142600000.0,2019-01-02,15:44:39,1.94,0.03,0.0178,1.95,2.0,1.94,2.01,13287.0,16.13,nan
Mersen SA,4805000000.0,2019-01-02,17:35:04,23.5,0.0,0.0,23.0,23.7,22.85,23.65,32149.0,10.78,0.0319
Microwave Vision,569200000.0,2019-01-02,15:15:39,9.04,0.02,0.0022,9.04,9.08,9.04,9.06,330.0,45.2,nan
Mulann SA,nan,2019-01-02,16:34:56,0.06,0.0,0.0,0.01,0.06,0.06,0.06,100.0,0.07,nan
Multimicrocloud SA,nan,2018-12-31,11:30:10,0.59,0.05,0.0935,0.01,0.8,0.59,0.59,100.0,nan,nan
Neocom Multimedia,60500000.0,2018-12-19,03:00:54,3.96,0.36,0.1,3.5,3.96,3.96,3.96,254.0,9.66,0.0707
Netgem SA,270100000.0,2019-01-02,17:35:22,0.98,0.0,0.0,0.97,0.99,0.97,0.98,4529.0,8.17,0.102
Neurones,4582000000.0,2019-01-02,15:09:59,18.8,0.1,0.0053,18.8,19.1,18.8,19.1,2597.0,16.79,0.0032
