name,capital,date,time,lastquote,lastabs,lastrel,bid,offer,low,high,dayvol,pe,yield
2CRSI SA,1469000000.0,2019-01-03,16:59:07,8.32,0.04,0.0048,8.26,8.6,8.3,8.36,1721.0,155.27,nan
4Service Cloud Tech AG,nan,2018-12-27,11:30:04,0.09,0.02,0.2857,0.0,0.09,0.09,0.09,100.0,nan,nan
Acteos,39500000.0,2019-01-03,14:16:07,1.45,0.03,0.021099999999999997,1.37,1.44,1.42,1.45,661.0,11.15,nan
Actia group,675200000.0,2019-01-03,17:35:09,3.31,0.05,0.016399999999999998,3.27,3.45,3.24,3.39,12502.0,8.06,0.035699999999999996
Activium Group,nan,2019-01-03,16:30:08,0.98,0.02,0.02,0.0,0.98,0.98,0.98,561.0,nan,nan
Adeunis RF SA,166200000.0,2019-01-03,15:07:15,7.26,0.08,0.0108,7.17,7.34,7.05,7.34,1315.0,20.61,nan
Adthink,nan,2019-01-03,10:27:48,0.68,0.02,0.024,0.63,0.68,0.63,0.68,5419.0,0.99,nan
Alpha Mos,168299999.99999997,2018-12-29,03:01:50,0.36,0.0,0.0,0.32,0.36,0.32,0.36,1205.0,3.45,nan
Alten,24200000000.0,2019-01-03,17:35:26,70.25,2.2,0.0304,70.2,71.2,70.25,72.0,48102.0,15.97,0.0138
Altran Technologies SA,17300000000.0,2019-01-03,17:35:27,6.55,0.27,0.038900000000000004,6.54,6.8,6.53,6.77,833950.0,13.95,0.0352
Anevia SA,81000000.0,2019-01-03,11:01:43,2.06,0.04,0.019,2.06,2.08,2.06,2.1,848.0,8.53,nan
Archos,196400000.0,2019-01-03,17:35:16,0.34,0.0,0.013000000000000001,0.34,0.36,0.34,0.35,370552.0,2.22,nan
Assima PLC,148200000.0,2018-11-28,03:01:17,1.95,0.0,0.0,0.0,1.95,1.95,1.95,200.0,nan,nan
Atari SA,835800000.0,2019-01-03,17:35:29,0.32,0.01,0.0347,0.32,0.32,0.32,0.34,805461.0,66.27,nan
Ateme SA,1132000000.0,2019-01-03,17:36:08,10.36,0.54,0.0495,10.34,10.44,10.32,10.98,6624.0,28.78,nan
Atos SE,76700000000.0,2019-01-03,17:35:08,67.98,3.8,0.0529,67.98,69.9,67.78,70.7,401828.0,11.6,0.023700000000000002
Aubay,3584000000.0,2019-01-03,17:35:24,25.95,1.35,0.0495,25.8,26.2,25.8,27.2,7484.0,14.26,0.0187
Audiovalley SA,375800000.0,2019-01-03,10:21:09,4.5,0.0,0.0001,4.5,4.51,4.5,4.5,36.0,5.25,nan
Avenir Télécom,nan,2019-01-03,17:13:01,0.15,0.01,0.0506,0.15,0.16,0.15,0.16,460654.0,0.8,nan
Awox SA,66000000.0,2019-01-03,16:43:31,0.92,0.02,0.02,0.91,0.92,0.9,0.92,9524.0,0.84,nan
Axway Software,2572000000.0,2019-01-03,17:35:04,12.04,0.14,0.0115,12.02,12.8,12.0,12.2,1770.0,60.2,0.016399999999999998
Bigben Interactive,1566000000.0,2019-01-03,17:35:06,7.87,0.16,0.0199,7.86,7.96,7.87,8.2,15158.0,16.4,0.0125
Bilendi SA,341500000.0,2019-01-03,17:35:26,8.7,0.02,0.0023,8.68,8.72,8.7,8.7,771.0,18.64,nan
Blue Solutions SA,4783000000.0,2019-01-03,17:12:35,16.3,0.1,0.0060999999999999995,16.3,16.4,16.3,16.35,182.0,24.33,nan
Capgemini SE,140800000000.0,2019-01-03,17:37:36,79.8,4.46,0.0529,79.7,80.44,79.8,82.96,873306.0,18.05,0.0202
Cast,657600000.0,2019-01-03,17:11:40,3.8,0.02,0.0053,3.72,3.83,3.73,3.8,2788.0,8.44,nan
Cegedim SA,2811000000.0,2019-01-03,17:35:17,19.4,0.7,0.0348,19.4,20.3,19.05,20.1,6773.0,38.48,nan
Cheops Technology France SA,nan,2019-01-01,03:01:05,34.6,3.2,0.10189999999999999,28.0,34.8,34.6,34.6,1.0,nan,nan
中國超節能控股有限公司,nan,NULL,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,nan
Cibox Inter@ctive,100600000.0,2019-01-03,17:35:29,0.11,0.01,0.0556,0.11,0.12,0.11,0.12,1293917.0,28.5,nan
Claranova SA,2570000000.0,2019-01-03,17:35:06,0.62,0.03,0.0525,0.62,0.63,0.62,0.7,8361249.0,24.94,nan
Cofidur SA,133400000.0,2019-01-03,03:01:16,345.0,5.0,0.0147,330.0,348.0,344.0,345.0,11.0,7.51,0.0232
Cogelec SA,560600000.0,2019-01-03,17:35:08,6.54,0.24,0.0381,6.25,6.64,6.41,6.55,749.0,nan,nan
Coheris,82500000.0,2019-01-03,09:00:17,1.59,0.0,0.0032,1.58,1.59,1.59,1.59,1.0,14.41,nan
Condor Technologies NV,nan,2018-11-21,03:01:17,16.2,1.2,0.08,0.7,17.0,16.2,16.2,2000.0,nan,nan
Consort NT,nan,2017-11-22,03:01:06,20.2,0.0,0.0,18.2,20.2,20.2,20.2,12.0,nan,0.0891
Dalenys SA,nan,NULL,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,0.0027
Dalet SA,415900000.00000006,2019-01-03,09:00:26,11.7,0.1,0.0086,11.4,11.9,11.7,11.7,1.0,61.58,nan
Damaris SA,nan,2018-11-02,02:01:50,1.62,0.0,0.0,0.0,5.0,1.62,1.62,168.0,nan,nan
Dassault Systemes SE,266000000000.0,2019-01-03,17:35:27,96.28,6.57,0.0639,96.08,100.0,96.02,102.3,610492.0,43.76,0.005600000000000001
Datbim SA,49100000.0,2018-12-22,03:01:06,1.68,0.2,0.10640000000000001,0.35,1.86,1.68,1.68,100.0,nan,nan
Debflex,nan,2018-12-06,03:01:50,2.42,0.18,0.0692,0.0,3.0,2.42,2.68,537.0,nan,0.126
Devoteam SA,6694000000.0,2019-01-03,17:35:04,79.9,3.9,0.04650000000000001,79.0,85.8,78.8,82.6,7003.0,28.23,0.010700000000000001
Digigram,12100000.0,2018-12-31,11:30:04,0.6,0.03,0.047599999999999996,0.49,0.8,0.6,0.6,100.0,1.13,nan
Digitech,nan,2018-08-02,03:01:05,1.3,0.1,0.07139999999999999,1.0,2.0,1.3,1.3,400.0,nan,nan
Dolphin Integration SA,nan,2018-08-16,08:42:00,3.66,0.2,0.057800000000000004,3.0,3.98,3.6,3.66,1344.0,3.81,nan
DONTNOD Entertainment SA,692700000.0,2019-01-03,17:35:11,15.57,0.75,0.050499999999999996,15.45,15.57,15.0,15.6,3638.0,35.06,nan
Drone Volt SA,60599999.99999999,2019-01-03,17:35:22,0.21,0.01,0.0388,0.21,0.23,0.21,0.24,1167653.0,2.11,nan
EasyVista SA,596700000.0,2019-01-03,16:14:22,35.4,1.4,0.038,33.0,36.0,35.2,35.4,3.0,16.94,nan
Egide SA,111000000.0,2019-01-03,17:35:26,1.42,0.01,0.0070999999999999995,1.41,1.42,1.41,1.42,3910.0,28.3,nan
Ekinops SA,567200000.0,2019-01-03,17:09:28,2.54,0.1,0.038,2.54,2.55,2.54,2.69,32969.0,7.46,nan
Enensys Technologies SA,194700000.0,2019-01-03,13:03:26,3.5,0.16,0.0434,3.5,3.75,3.5,3.5,553.0,8.21,nan
Entreparticuliers SA,nan,2019-01-03,09:00:09,0.65,0.0,0.0,0.64,0.69,0.65,0.65,1.0,2.26,nan
Envea SA,823199999.9999999,2019-01-03,11:40:44,52.0,0.0,0.0,51.6,52.0,51.6,52.0,46.0,15.71,0.0126
Equipements Audiovisuels &Systemes,nan,NULL,,11.31,nan,nan,9.31,13.9,NULL,NULL,nan,nan,nan
Esi Group SA,1523000000.0,2019-01-03,17:35:17,27.45,0.3,0.011000000000000001,26.15,27.45,26.2,27.45,33149.0,65.36,nan
Esker SA,3234000000.0,2019-01-03,17:35:20,59.1,0.3,0.0051,58.3,59.6,58.3,60.0,1603.0,48.44,0.0054
Eutelsat Communications,41000000000.0,2019-01-03,17:35:20,17.65,0.02,0.0011,17.5,17.96,17.53,17.81,317715.0,14.14,0.0721
FILAE SA,70700000.0,2019-01-03,16:30:10,4.8,1.1,0.1864,4.8,6.5,4.8,4.8,30.0,9.17,nan
Focus Home Interactive SA,1175000000.0,2019-01-03,17:35:28,22.7,0.3,0.0134,22.6,22.8,22.4,22.8,489.0,15.55,0.0254
Gemalto NV,46100000000.0,NULL,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,0.0054
Generix Group FCE,704100000.0,2019-01-03,15:51:32,3.16,0.02,0.0063,3.14,3.19,3.16,3.2,7012.0,316.0,nan
Gérard Perrier Industrie,1661000000.0,2019-01-03,15:42:49,45.3,0.2,0.0044,45.2,45.3,45.0,45.3,71.0,13.9,0.0384
Green Energy 4 Seasons SA,nan,2019-01-03,03:01:17,2.9,0.0,0.0,2.7,3.98,2.9,2.9,80.0,nan,nan
Groupe Gorge SA,1120000000.0,2019-01-03,17:35:24,8.49,0.19,0.0229,8.4,8.49,8.3,8.52,3238.0,7.1,0.038599999999999995
Groupe Open SA,1653000000.0,2019-01-03,17:35:05,19.58,0.22,0.0111,19.28,19.8,19.2,19.8,5917.0,14.5,0.0212
Groupe Plus Values,nan,NULL,,0.01,nan,nan,0.0,0.01,NULL,NULL,nan,0.93,nan
Guillemot Corp SA,494000000.0,2019-01-03,17:35:09,3.31,0.07,0.0216,3.2,3.31,3.24,3.32,7783.0,2.87,nan
Harvest SA,1140000000.0,2019-01-03,16:49:47,85.5,0.5,0.0058,85.5,86.0,85.5,85.5,152.0,37.17,0.020499999999999997
HF Co,173200000.0,2019-01-03,17:26:04,5.44,0.04,0.0073,5.4,5.46,5.34,5.48,325.0,19.43,0.09119999999999999
Hipay Group SA,430100000.0,2019-01-03,17:12:11,8.02,0.66,0.076,8.0,8.66,8.02,8.66,814.0,8.72,nan
HiTechPros SA,241600000.0,2019-01-03,03:01:50,14.6,0.1,0.0068000000000000005,14.6,15.5,14.6,14.6,299.0,11.23,0.085
Holosfind,nan,2017-06-30,13:14:07,0.02,0.0,0.0,0.02,0.03,0.02,0.03,516500.0,0.4,nan
Horizontal Software SA,20400000.0,2019-01-03,13:15:03,0.91,0.04,0.0421,0.91,0.95,0.91,0.95,9.0,0.38,nan
Hubwoo,189600000.0,2019-01-03,03:01:06,0.14,0.01,0.037000000000000005,0.14,0.16,0.14,0.14,64619.0,15.91,nan
Hydro Exploitations SA,nan,2018-11-13,03:01:06,59.0,0.5,0.0084,58.0,59.0,59.0,59.0,2.0,nan,0.0308
i2S Corp SA,46500000.0,2018-12-19,03:01:50,2.7,0.0,0.0,2.12,2.68,2.7,2.7,10.0,7.88,nan
IDS,nan,2019-01-03,03:01:50,0.66,0.01,0.0076,0.52,0.66,0.66,0.66,5.0,nan,0.0862
IGE Plus XAO SA,1683000000.0,2019-01-03,03:01:03,130.5,0.5,0.0038,120.0,142.5,130.5,139.5,9.0,28.94,0.011899999999999999
Immersion SA,38600000.0,2018-12-14,03:01:17,3.12,0.0,0.0,0.14,3.9,3.12,3.12,120.0,13.55,nan
Infoclip,nan,2019-01-03,11:30:17,1.53,0.17,0.1,1.4,1.8,1.53,1.53,60.0,nan,nan
Infotel SA,2512000000.0,2019-01-03,17:35:19,37.0,0.75,0.0199,37.0,37.55,37.0,38.4,4583.0,15.61,0.0305
Innelec Multimedia SA,116900000.0,2019-01-03,17:23:48,4.29,0.04,0.009399999999999999,4.25,4.3,4.26,4.29,721.0,2.1,0.0471
Inside Secure,621100000.0,2019-01-03,17:35:03,1.39,0.02,0.015600000000000001,1.36,1.39,1.37,1.42,72691.0,nan,nan
Intrasense,362330.0,2019-01-03,16:10:54,0.2,0.0,0.0025,0.2,0.2,0.2,0.2,8107.0,0.17,nan
Iscool Entertainment SA,nan,NULL,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,nan
IT Link,113400000.0,2019-01-03,11:08:38,6.92,0.0,0.0,6.92,7.08,6.9,7.06,592.0,12.14,nan
Itesoft,213500000.0,2019-01-03,14:57:47,3.56,0.08,0.022000000000000002,3.48,3.74,3.56,3.66,584.0,8.9,0.044800000000000006
ITS Group,351900000.0,2019-01-03,17:35:01,4.68,0.16,0.0354,4.5,4.74,4.56,4.68,704.0,12.32,0.0265
Kalray SA,500800000.0,2019-01-03,13:20:23,11.5,0.05,0.0043,11.5,11.55,11.5,11.55,40.0,nan,nan
Kerlink SA,181900000.0,2019-01-03,17:30:09,3.7,0.27,0.0787,3.65,3.7,3.32,3.75,34245.0,55.17,nan
Keyrus,719000000.0,2019-01-03,17:22:21,4.45,0.1,0.022000000000000002,4.43,4.57,4.42,4.55,5762.0,9.89,nan
Lacroix SA,697700000.0,2019-01-03,16:36:38,19.25,0.3,0.015300000000000001,18.9,19.6,19.25,19.55,118.0,8.19,0.030699999999999998
Lectra,5739000000.0,2019-01-03,17:35:40,18.02,0.04,0.0022,16.8,18.22,17.86,18.26,33119.0,20.02,0.021
Lexibook Linguistic Electronic System SA,59100000.0,2019-01-03,17:35:00,0.82,0.05,0.053099999999999994,0.77,0.85,0.82,0.85,3056.0,7.45,nan
Linedata Services,2210000000.0,2019-01-03,17:35:12,32.95,0.05,0.0015,32.9,33.7,32.85,33.7,2275.0,11.99,0.0409
Locasystem international SA,nan,2017-08-26,03:01:16,3.0,0.32,0.0964,1.0,8.0,3.5,3.5,1.0,3.68,0.1429
Logic Instrument SA,51700000.0,2019-01-03,17:27:56,0.62,0.02,0.025099999999999997,0.6,0.62,0.57,0.64,4134.0,6.59,nan
Lucibel SA,156300000.0,2019-01-03,17:24:28,1.04,0.06,0.0545,1.01,1.04,1.03,1.1,14204.0,5.78,nan
M2i SAS,235300000.0,NULL,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,nan
Magillem Design Services,nan,2019-01-03,11:30:05,7.2,0.2,0.0286,7.2,13.9,7.2,7.2,42.0,nan,0.07429999999999999
Mecelec Composites SA,49200000.0,2019-01-03,13:26:20,1.28,0.06,0.0492,1.24,1.28,1.22,1.28,1111.0,8.7,nan
Medasys,325800000.0,2019-01-03,10:07:46,0.29,0.0,0.0103,0.29,0.29,0.29,0.29,20292.0,4.9,nan
Media Lab SpA,nan,2018-12-19,03:01:03,3.48,0.01,0.0029,3.48,3.48,3.48,3.48,500.0,nan,nan
Memscap SA,140100000.0,2019-01-03,17:23:36,1.94,0.0,0.0,1.93,1.98,1.94,1.99,1460.0,16.13,nan
Mersen SA,4805000000.0,2019-01-03,17:35:16,22.9,0.6,0.0255,22.7,22.9,22.8,23.7,43998.0,10.5,0.0319
Microwave Vision,569200000.0,2019-01-03,17:23:45,9.06,0.02,0.0022,9.04,9.08,9.04,9.06,66.0,45.3,nan
Mulann SA,nan,2019-01-03,16:30:20,0.03,0.02,0.4,0.03,0.05,0.03,0.03,1.0,0.04,nan
Multimicrocloud SA,nan,2018-12-31,11:30:13,0.59,0.05,0.0935,0.01,0.59,0.59,0.59,100.0,nan,nan
Neocom Multimedia,60500000.0,2018-12-19,03:01:05,3.96,0.36,0.1,3.5,3.96,3.96,3.96,254.0,9.66,0.0707
Netgem SA,270100000.0,2019-01-03,16:08:18,0.98,0.0,0.0040999999999999995,0.97,0.98,0.98,0.98,2237.0,8.13,0.102
Neurones,4558000000.0,2019-01-03,15:43:14,18.35,0.45,0.0239,18.35,18.9,18.3,18.85,11449.0,16.38,0.0032
Nokia Oyj,279900000000.0,2019-01-03,17:35:24,4.91,0.11,0.0209,4.88,4.99,4.87,5.0,475825.0,24.56,0.0379
NOVADAY,nan,2018-09-08,03:01:16,0.15,0.0,0.0,0.0,0.15,0.15,0.15,1.0,nan,nan
Novatech Industries,nan,2018-12-21,03:01:49,6.3,1.2,0.16,6.2,8.2,6.3,6.3,2.0,nan,nan
NSE Industries,nan,2019-01-03,09:00:11,8.9,0.0,0.0,8.8,10.5,8.9,8.9,1.0,327.71,nan
Oceasoft SA,26100000.0,2019-01-03,17:35:24,0.85,0.01,0.0116,0.85,0.93,0.85,0.93,1835.0,1.31,nan
OCTO Technology SA,nan,NULL,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,0.0187
Octopus Robots SA,127800000.0,2019-01-02,11:30:06,7.7,0.7,0.1,5.6,7.6,7.7,7.7,8.0,nan,nan
Onlineformapro,nan,2018-12-08,03:01:06,2.16,1.14,0.3455,2.14,3.3,2.16,2.16,589.0,nan,nan
Ordissimo SA,115399999.99999999,2019-01-03,17:00:54,4.55,0.05,0.0109,4.1,4.25,4.55,4.55,1.0,nan,nan
Oxatis,97200000.0,2019-01-03,17:35:13,3.37,0.01,0.003,3.36,3.37,3.37,3.5,299.0,4.26,nan
Pacte Novation SA,nan,2018-12-04,03:01:05,2.78,0.64,0.18710000000000002,2.78,3.5,2.78,2.78,5.0,9.2,nan
Paragon ID,277100000.0,2019-01-03,15:26:01,17.9,1.2,0.0719,17.06,17.9,17.02,17.98,503.0,nan,nan
Parrot SA,943100000.0,2019-01-03,17:35:06,3.2,0.0,0.0,3.2,3.21,3.2,3.21,114612.0,0.89,nan
Pharmagest Interactive,7729000000.0,2019-01-03,17:35:10,50.0,1.7,0.0329,50.0,50.8,50.0,50.9,1717.0,32.79,0.014499999999999999
Photonike Capital SA,nan,2017-06-10,03:01:03,7.85,0.05,0.0064,7.85,7.85,7.85,7.85,600.0,nan,nan
Planet Media,119800000.0,2019-01-03,09:00:15,2.52,0.0,0.0,2.52,2.62,2.52,2.52,1.0,9.5,0.0317
Precia,930100000.0,2019-01-03,16:39:28,169.0,0.0,0.0,157.0,169.0,169.0,169.0,11.0,15.09,0.014199999999999999
Prodware SA,701000000.0,2019-01-03,17:24:28,8.82,0.23,0.0254,8.82,8.89,8.82,9.05,1933.0,8.46,0.0066
Prologue SA,168100000.0,2019-01-03,16:33:47,0.37,0.01,0.0171,0.37,0.38,0.37,0.38,34004.0,6.0,nan
ProVenture Gold Inc,nan,NULL,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,nan
Quotium Technologies,310300000.0,2018-12-13,03:01:50,18.8,2.2,0.1048,22.0,18.8,18.8,18.8,1.0,30.32,nan
Reworld Media,548600000.0,2019-01-03,16:22:54,1.49,0.02,0.013600000000000001,1.43,1.5,1.42,1.49,1292.0,34.2,nan
Rexel SA,27500000000.0,2019-01-03,17:35:28,8.76,0.34,0.0369,8.75,8.95,8.75,9.15,1261037.0,25.04,0.0462
Riber,401700000.0,2019-01-03,17:35:13,2.04,0.11,0.057,2.0,2.04,1.94,2.07,84189.0,10.74,0.0259
Scientific Brain Training,nan,2018-12-11,03:01:06,8.5,0.3,0.0341,5.0,8.45,8.5,8.5,10.0,34.0,nan
Securinfor,nan,2018-12-18,03:01:50,40.0,2.0,0.0526,27.0,45.0,40.0,40.0,5.0,nan,0.0575
Semplicemente S.p.A,nan,NULL,,0.81,nan,nan,0.81,nan,NULL,NULL,nan,nan,nan
SES-imagotag SA,2438000000.0,2019-01-03,17:35:50,17.1,0.96,0.053200000000000004,16.8,17.56,16.84,18.16,19533.0,10.89,nan
Sidetrade SA,657500000.0,2019-01-03,15:49:34,50.2,0.0,0.0,50.0,50.4,50.2,50.2,32.0,35.55,nan
Societe O2I,117300000.0,2019-01-03,11:02:32,0.98,0.0,0.002,0.98,1.02,0.98,0.99,1501.0,45.87,nan
Societe Pour L'Informatique Industrielle,3995000000.0,2019-01-03,17:35:01,20.1,0.0,0.0,19.9,20.5,20.1,20.4,7608.0,15.58,0.0075
Sodifrance SA,581400000.0,2018-12-29,03:01:17,16.0,0.9,0.0596,15.1,16.6,16.0,16.0,9.0,34.78,0.0144
Soft Computing,510000000.0,2019-01-03,16:58:35,24.4,0.0,0.0,24.4,24.6,24.4,24.4,18.0,20.68,0.020499999999999997
Soitec SA,16700000000.0,2019-01-03,17:35:13,49.62,3.48,0.0655,49.4,50.9,49.26,51.95,192341.0,16.99,nan
Solocal Group SA,2798000000.0,2019-01-03,17:35:11,0.48,0.0,0.005,0.48,0.49,0.47,0.5,1435700.0,0.2,nan
Solutions 30 SE,9147000000.0,2019-01-03,17:35:09,8.59,0.2,0.022799999999999997,8.4,8.68,8.4,8.96,140651.0,65.7,nan
Sopra Steria Group SA,16399999999.999998,2019-01-03,17:35:16,78.35,2.65,0.0327,78.0,79.5,78.1,80.3,52669.0,11.04,0.0296
SQLI SA,705300000.0,2019-01-03,17:35:02,15.9,0.24,0.0149,15.6,15.96,15.74,16.16,3300.0,35.06,nan
STMicroelectronics NV,109000000000.0,2019-01-03,17:35:00,10.74,1.41,0.1161,10.74,10.77,10.68,11.78,7950656.0,nan,0.0169
Streamwide,210900000.0,2019-01-03,11:30:04,7.1,0.1,0.0139,7.1,7.3,7.1,7.1,64.0,7.8,nan
Swiss Fintec Invest AG,nan,2019-01-03,16:30:10,0.23,0.01,0.0254,0.2,0.25,0.23,0.24,10491.0,nan,nan
Sword Group,2755000000.0,2019-01-03,17:35:27,28.45,0.45,0.015600000000000001,28.4,28.7,28.45,28.85,4440.0,26.1,0.0415
Technofirst SA,nan,2019-01-03,03:01:03,0.14,0.0,0.0070999999999999995,0.12,0.23,0.14,0.14,7795.0,1.0,nan
Tessi,3202000000.0,2019-01-03,17:26:36,111.0,3.0,0.0263,111.0,113.0,111.0,118.5,461.0,9.93,nan
Tonna Electronique,nan,2018-06-22,07:15:00,0.41,0.0,0.0,0.41,0.41,0.41,0.41,5.0,0.26,nan
Traqueur SA,33300000.0,2019-01-03,11:30:12,1.01,0.0,0.0,1.0,1.15,1.01,1.01,1.0,0.25,nan
Travel Technology Interactive SA,72500000.0,2018-12-15,03:01:50,1.1,0.0,0.0,0.02,1.31,1.1,1.1,2630.0,22.0,nan
Tronics Microsystems,409099999.99999994,2018-12-28,03:01:05,11.1,0.0,0.0,11.1,13.0,11.1,11.1,128.0,6.19,nan
Txcom,55900000.0,2019-01-03,16:30:13,4.54,0.0,0.0,4.54,5.5,4.54,4.54,380.0,11.43,0.0352
Ubisoft Entertainment,76300000000.0,2019-01-03,17:38:04,65.9,3.52,0.0507,65.6,67.5,65.8,68.9,437721.0,55.85,nan
Umanis NR,1533000000.0,2019-01-03,16:52:03,8.16,0.14,0.0169,8.16,8.2,8.16,8.3,2067.0,8.87,0.014499999999999999
Union Technologies Informatique Group,45800000.0,2019-01-03,16:52:37,0.53,0.01,0.0115,0.52,0.53,0.52,0.53,6.0,4.38,nan
Visiativ SA,589500000.0,2019-01-03,17:35:27,14.6,0.4,0.026699999999999998,14.6,14.7,14.5,15.0,2310.0,12.21,nan
Visiodent SA,112400000.0,2019-01-02,10:28:12,2.5,0.3,0.1364,2.3,2.58,2.3,2.5,4080.0,27.92,0.044000000000000004
VOGO SA,373500000.0,2019-01-03,16:55:41,10.85,0.15,0.013999999999999999,10.65,10.95,10.7,11.0,490.0,nan,nan
Voluntis SA,312000000.0,2019-01-03,09:00:02,4.99,0.0,0.0001,4.99,5.01,4.99,4.99,1.0,3.11,nan
Wallix Group SA,718000000.0,2019-01-03,17:35:03,12.25,0.25,0.02,12.2,12.3,11.75,12.35,3755.0,47.12,nan
Wavestone SA,4891000000.0,2019-01-03,17:35:25,24.15,0.25,0.0102,23.9,24.95,23.9,24.6,5590.0,17.89,0.0083
Weborama SA,281500000.0,2019-01-03,16:43:33,7.5,0.1,0.0132,6.5,7.5,7.45,7.5,2.0,10.69,nan
Wedia,196100000.0,2019-01-03,09:00:23,22.9,0.0,0.0,21.7,24.0,22.9,22.9,1.0,27.44,0.0083
Witbe SA,213400000.0,2019-01-03,17:18:03,4.93,0.29,0.0556,4.93,4.94,4.92,5.22,619.0,4.74,nan
X-FAB Silicon Foundries SE,5715000000.0,2019-01-03,17:35:04,4.18,0.2,0.0446,4.13,4.4,4.15,4.3,39137.0,nan,nan
陽電控股有限公司,nan,NULL,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,nan
