name,capital,date,time,lastquote,lastabs,lastrel,bid,offer,low,high,dayvol,pe,yield
2CRSI SA,1473000000.0,2018-12-31,14:00:15,8.4,0.1,0.012,8.3,8.4,8.26,8.4,2333.0,156.77,nan
4Service Cloud Tech AG,nan,2018-12-28,03:01:04,0.09,0.02,0.2857,0.0,0.09,0.09,0.09,100.0,nan,nan
Acteos,37800000.0,2018-12-31,13:29:18,1.39,0.03,0.022099999999999998,1.36,1.43,1.38,1.39,2209.0,10.69,nan
Actia group,637100000.0,2018-12-31,14:00:01,3.38,0.21,0.0662,3.25,3.45,3.2,3.42,24049.0,8.24,0.0379
Activium Group,nan,2018-12-31,12:40:25,1.09,0.09,0.09,0.0,1.3,1.09,1.09,149.0,nan,nan
Adeunis RF SA,166200000.0,2018-12-31,13:40:11,7.34,0.0,0.0001,7.18,7.34,7.18,7.34,2013.0,20.83,nan
Adthink,36400000.0,2018-12-31,14:00:15,0.63,0.03,0.0432,0.57,0.63,0.56,0.63,1390.0,0.91,nan
Alpha Mos,168299999.99999997,2018-12-29,03:01:04,0.36,0.0,0.0,0.32,0.36,0.32,0.36,1205.0,3.45,nan
Alten,24300000000.0,2018-12-31,14:00:26,72.7,0.15,0.0021,72.0,73.5,72.4,73.4,10959.0,16.52,0.0137
Altran Technologies SA,17300000000.0,2018-12-31,14:00:12,7.01,0.18,0.0256,7.0,7.04,6.87,7.11,380902.0,14.93,0.0351
Anevia SA,80600000.0,2018-12-31,09:00:06,2.09,0.0,0.0,2.09,2.1,2.09,2.09,1.0,8.66,nan
Archos,174000000.0,2018-12-31,14:00:12,0.37,0.06,0.1889,0.35,0.37,0.31,0.37,1640025.0,2.37,nan
Assima PLC,148200000.0,2018-11-28,03:01:02,1.95,0.0,0.0,0.0,1.95,1.95,1.95,200.0,nan,nan
Atari SA,811900000.0,2018-12-31,14:00:27,0.34,0.02,0.0575,0.34,0.35,0.32,0.35,1851255.0,70.51,nan
