name,capital,date,time,lastquote,lastabs,lastrel,bid,offer,low,high,dayvol,pe,yield
2CRSI SA,1473000000,2018-12-28,17:35:04,8.3,0.2,0.0235,8.04,8.6,8,8.48,10376,154.9,nan
4Service Cloud Tech AG,nan,2018-12-27,15:08:18,0.09,0.02,0.2857,0.07,0.09,0.09,0.09,100,nan,nan
Acteos,37800000,2018-12-28,17:37:57,1.36,0.04,0.0303,1.36,1.38,1.32,1.36,2205,10.46,nan
Actia group,637100000,2018-12-28,17:35:02,3.17,0.09,0.0276,3.1,3.24,3.15,3.25,30927,7.73,0.0379
Activium Group,nan,2018-12-05,16:30:22,1,0.39,0.2806,0,1,1,1,65400,nan,nan
Adeunis RF SA,166200000,2018-12-28,12:24:37,7.34,0.06,0.0082,7.22,7.34,7.2,7.4,97,20.83,nan
Adthink,36400000,2018-12-28,17:35:20,0.6,0,0,0.56,0.6,0.53,0.6,7258,0.87,nan
Alpha Mos,168300000,2018-12-28,17:06:16,0.36,0,0,0.32,0.36,0.32,0.36,1205,3.45,nan
Alten,24300000000,2018-12-28,17:35:24,72.85,2.35,0.0333,71,74,70.7,72.85,39812,16.56,0.0137
Altran Technologies SA,17300000000,2018-12-28,17:38:12,6.83,0.28,0.0427,6.78,6.85,6.57,6.85,755658,14.55,0.0351
Anevia SA,80600000,2018-12-28,13:19:25,2.09,0.01,0.0048,2.08,2.09,2.08,2.09,751,8.66,nan
Archos,174000000,2018-12-28,17:35:06,0.31,0.02,0.0716,0.3,0.31,0.29,0.31,452792,1.99,nan
Assima PLC,148200000,2018-11-28,03:01:50,1.95,0,0,0,1.95,1.95,1.95,200,nan,nan
Atari SA,811900000,2018-12-28,17:35:23,0.32,0.01,0.0354,0.32,0.32,0.3,0.33,1638317,66.68,nan
Ateme SA,1125000000,2018-12-28,17:35:00,10.84,0.28,0.0265,10.76,10.88,10.54,11,9298,30.11,nan
Atos SE,75400000000,2018-12-28,17:37:17,70.64,2.14,0.0312,69.38,71.44,68.42,71.1,343616,12.05,0.0241
Aubay,3571000000,2018-12-28,17:35:16,27.2,1.65,0.0646,26.9,27.3,25.75,27.2,28499,14.95,0.0188
Audiovalley SA,375600000,2018-12-28,17:25:52,4.5,0,0.0004,4.48,4.5,4.48,4.5,110,5.25,nan
Avenir Télécom,nan,2018-12-28,17:15:24,0.15,0,0.0239,0.15,0.16,0.15,0.16,219938,0.8,nan
Awox SA,66500000,2018-12-28,17:35:28,0.91,0.06,0.0757,0.89,0.91,0.87,0.93,65923,0.83,nan
Axway Software,2563000000,2018-12-28,17:35:17,12.14,0.02,0.0016,12.02,12.46,12,12.18,2136,60.7,0.0165
Bigben Interactive,1617000000,2018-12-28,17:35:16,8.29,0.39,0.0494,8,8.3,7.88,8.29,26529,17.27,0.0121
Bilendi SA,341500000,2018-12-28,17:24:51,8.68,0.1,0.0117,8.58,8.68,8.58,8.68,595,18.6,nan
Blue Solutions SA,4739000000,2018-12-28,03:01:09,16.25,0.1,0.0061,16.25,16.35,16.25,16.3,290,24.25,nan
Capgemini SE,143600000000,2018-12-28,17:35:21,85.92,1.22,0.0144,85.06,86.4,83.88,86.28,461400,19.44,0.0198
Cast,636700000,2018-12-28,17:06:39,3.66,0.04,0.0108,3.65,3.74,3.66,3.74,4413,8.13,nan
Cegedim SA,2706000000,2018-12-28,17:35:13,19.35,0.5,0.0252,19.15,19.75,19.15,20,7087,38.38,nan
Cheops Technology France SA,nan,2018-12-28,16:30:27,31.4,3.4,0.0977,28,34.6,31.4,31.4,12,nan,nan
中國超節能控股有限公司,nan,2016-09-07,03:01:09,0.02,0.01,0.3333,0.02,10,0.02,0.02,500,nan,nan
Cibox Inter@ctive,93100000,2018-12-28,17:28:04,0.1,0,0.0196,0.1,0.1,0.1,0.11,568843,25,nan
Claranova SA,2148000000,2018-12-28,17:39:55,0.55,0.02,0.0457,0.54,0.56,0.53,0.56,3510752,21.99,nan
Cofidur SA,131500000,2018-12-22,03:01:49,340,8,0.023,335,340,340,340,1,7.41,0.0235
Cogelec SA,590700000,2018-12-28,17:03:20,6.64,0,0.0002,6.25,6.64,6.43,6.65,1106,nan,nan
Coheris,83500000,2018-12-28,17:03:52,1.6,0.13,0.0847,1.56,1.64,1.48,1.6,2982,14.55,nan
Condor Technologies NV,nan,2018-11-21,03:01:49,16.2,1.2,0.08,0.7,17,16.2,16.2,2000,nan,nan
Consort NT,nan,2017-11-22,03:01:09,20.2,0,0,18.2,20.2,20.2,20.2,12,nan,0.0891
Dalenys SA,nan,--,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,0.0027
Dalet SA,430300000,2018-12-28,14:58:56,12,0.3,0.0256,11.4,12,11.5,12,664,63.16,nan
Damaris SA,nan,2018-11-02,02:00:53,1.62,0,0,0,5,1.62,1.62,168,nan,nan
Dassault Systemes SE,263400000000,2018-12-28,17:35:20,101.85,1.25,0.0124,100.2,102.7,100.85,103.1,265317,46.3,0.0057
Datbim SA,49100000,2018-12-22,03:01:09,1.68,0.2,0.1064,0.35,1.86,1.68,1.68,100,nan,nan
Debflex,nan,2018-12-05,07:15:00,2.42,0.18,0.0692,2.42,2.42,2.42,2.68,537,nan,0.126
Devoteam SA,6391000000,2018-12-28,17:35:09,80,0.6,0.0076,79.9,82,78.6,80.8,10699,28.27,0.0113
Digigram,12700000,2018-12-28,16:30:09,0.63,0.08,0.1064,0.5,0.63,0.63,0.63,300,1.19,nan
Digitech,nan,2018-08-02,03:01:07,1.3,0.1,0.0714,1,2,1.3,1.3,400,nan,nan
Dolphin Integration SA,nan,2018-08-16,08:56:05,3.66,0.2,0.0578,3,3.98,3.6,3.66,1344,3.81,nan
DONTNOD Entertainment SA,682300000,2018-12-28,17:16:33,14.6,0.6,0.0429,14.45,14.8,14,15.15,1178,32.87,nan
Drone Volt SA,58200000,2018-12-28,17:35:12,0.2,0,0.01,0.2,0.2,0.19,0.2,97755,1.95,nan
EasyVista SA,554500000,2018-12-28,11:58:48,34.2,0.2,0.0059,32.4,37,34,34.2,2,16.36,nan
Egide SA,112200000,2018-12-28,16:58:59,1.42,0.03,0.0216,1.37,1.45,1.37,1.43,19588,28.4,nan
Ekinops SA,540200000,2018-12-28,17:35:20,2.51,0.07,0.0308,2.5,2.55,2.43,2.52,22599,7.38,nan
Enensys Technologies SA,188700000,2018-12-28,12:37:04,3.42,0.08,0.0227,3.48,3.5,3.37,3.5,1921,8.03,nan
Entreparticuliers SA,24100000,2018-12-28,11:56:23,0.68,0.02,0.0286,0.66,0.8,0.68,0.75,101,2.36,nan
Envea SA,820000000,2018-12-28,15:01:18,51.4,1.7,0.0342,50.4,51.8,49.7,51.4,249,15.53,0.0126
Equipements Audiovisuels &Systemes,nan,--,,11.31,nan,nan,9.31,13.9,NULL,NULL,nan,nan,nan
Esi Group SA,1529000000,2018-12-28,17:35:22,27.25,0,0,26.85,27.8,26.9,27.5,2338,64.88,nan
Esker SA,3157000000,2018-12-28,17:35:24,58,1,0.0175,56.8,58,56.1,58.3,1871,47.54,0.0055
Eutelsat Communications,40200000000,2018-12-28,17:35:45,17.3,0.39,0.0231,17.02,17.4,16.88,17.38,299600,13.86,0.0734
FILAE SA,70700000,2018-12-28,16:30:28,4.1,0.18,0.0421,4.1,4.28,4.1,4.1,129,7.83,nan
Focus Home Interactive SA,1175000000,2018-12-28,17:35:10,22.4,0.8,0.037,22.1,22.9,21.6,22.5,714,15.34,0.0254
Gemalto NV,45900000000,--,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,0.0054
Generix Group FCE,726300000,2018-12-28,17:13:30,3.28,0,0,3.21,3.29,3.25,3.28,2091,328,nan
Gérard Perrier Industrie,1669000000,2018-12-28,16:19:26,45.3,0.1,0.0022,45,45.4,44.2,45.4,361,13.9,0.0382
Green Energy 4 Seasons SA,nan,2018-12-18,03:01:50,2.9,0,0,2.7,13,2.9,2.9,1088,nan,nan
Groupe Gorge SA,1085000000,2018-12-28,17:35:15,8.04,0.28,0.0361,8,8.04,7.78,8.07,4743,6.73,0.0398
Groupe Open SA,1553000000,2018-12-28,17:35:04,18.6,0.04,0.0022,18.6,19.1,18.46,19.22,6503,13.78,0.0226
Groupe Plus Values,nan,--,,0.01,nan,nan,0,0.01,NULL,NULL,nan,0.93,nan
Guillemot Corp SA,497000000,2018-12-28,17:23:08,3.26,0.24,0.0795,3.2,3.28,3.06,3.26,16260,2.83,nan
Harvest SA,1140000000,2018-12-28,17:17:11,85.5,0,0,85.5,86,85.5,86,275,37.17,0.0205
HF Co,170700000,2018-12-28,12:49:32,5.4,0.08,0.015,5.28,5.46,5.28,5.46,978,19.29,0.0926
Hipay Group SA,431100000,2018-12-28,17:30:00,8.7,0.28,0.0312,8.5,8.7,8.28,8.8,1070,9.46,nan
HiTechPros SA,241600000,2018-12-28,14:21:12,14.7,0,0,14.5,14.7,14.7,14.7,729,11.31,0.085
Holosfind,nan,2017-06-30,14:15:43,0.02,0,0,0.02,0.03,0.02,0.03,516500,0.4,nan
Horizontal Software SA,20500000,2018-12-28,13:10:26,1,0.09,0.0929,0.91,1,0.92,1,651,0.42,nan
Hubwoo,182800000,2018-12-28,03:01:09,0.14,0,0.0217,0.13,0.17,0.14,0.14,14346,15.34,nan
Hydro Exploitations SA,nan,2018-11-13,03:01:09,59,0.5,0.0084,58,57.5,59,59,2,nan,0.0308
i2S Corp SA,46500000,2018-12-19,03:00:53,2.7,0,0,2.1,2.68,2.7,2.7,10,7.88,nan
IDS,nan,2018-12-07,03:00:53,0.66,0,0,0.5,0.63,0.66,0.66,100,nan,0.0862
IGE Plus XAO SA,1696000000,2018-12-28,13:36:08,131.5,0.5,0.0038,131,139.5,131,131.5,1120,29.16,0.0118
Immersion SA,38600000,2018-12-14,03:01:50,3.12,0,0,0.1,3.5,3.12,3.12,120,13.55,nan
Infoclip,nan,2018-12-22,03:00:53,1.7,0.05,0.0286,1.7,1.75,1.7,1.7,56,nan,nan
Infotel SA,2395000000,2018-12-28,17:35:04,36,1.1,0.0315,35.3,36.15,34.9,36,13347,15.19,0.0319
Innelec Multimedia SA,119700000,2018-12-28,16:31:50,4.35,0.05,0.0114,4.25,4.36,4.22,4.54,5646,2.13,0.046
Inside Secure,577000000,2018-12-28,17:35:04,1.31,0.04,0.0331,1.3,1.34,1.27,1.33,131207,nan,nan
Intrasense,343449,2018-12-28,17:19:12,0.19,0,0.0053,0.19,0.2,0.19,0.21,78201,0.16,nan
Iscool Entertainment SA,nan,--,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,nan
IT Link,108200000,2018-12-28,17:35:00,6.6,0.38,0.0611,6.4,6.9,6.1,6.7,2671,11.58,nan
Itesoft,215800000,2018-12-28,17:08:17,3.68,0.04,0.011,3.56,3.72,3.6,3.68,1582,9.2,0.0443
ITS Group,346500000,2018-12-28,10:55:34,4.45,0.09,0.0206,4.38,4.5,4.37,4.45,33,11.71,0.027
Kalray SA,496500000,2018-12-28,17:28:18,11.45,0.1,0.0088,11.45,11.6,11.45,11.74,1489,nan,nan
