name,capital,date,time,lastquote,lastabs,lastrel,bid,offer,low,high,dayvol,pe,yield
Kerlink SA,175300000,2018-12-28,17:29:44,3.45,0.05,0.0147,3.41,3.75,3.3,3.8,72851,51.44,nan
Keyrus,711100000,2018-12-28,17:27:13,4.5,0.22,0.0514,4.33,4.5,4.29,4.5,8069,10,nan
Lacroix SA,674500000,2018-12-28,17:35:28,18.9,0,0,18.8,19.3,18.9,19.2,781,8.04,0.0317
Lectra,5682000000,2018-12-28,17:35:20,17.88,0.3,0.0165,17,18.5,17.62,18.28,5815,20.09,0.0213
Lexibook Linguistic Electronic System SA,54600000,2018-12-28,17:35:13,0.8,0.1,0.1111,0.79,0.84,0.78,0.88,15291,7.27,nan
Linedata Services,2076000000,2018-12-28,17:35:14,31,0.8,0.0265,29.9,31.1,29.5,31,1473,11.28,0.0435
Locasystem international SA,nan,2017-08-26,03:01:49,3,0.32,0.0964,1,8,3.5,3.5,1,3.68,0.1429
Logic Instrument SA,51700000,2018-12-28,09:50:27,0.6,0.02,0.0346,0.56,0.58,0.55,0.6,1998,6.33,nan
Lucibel SA,152900000,2018-12-28,17:32:18,1.09,0.05,0.0423,1.05,1.1,1.05,1.14,21051,6.04,nan
M2i SAS,252100000,--,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,nan
Magillem Design Services,nan,2018-12-28,16:30:12,7,0,0,7,13.9,7,7,36,nan,0.0743
Mecelec Composites SA,49400000,2018-12-28,14:57:04,1.23,0.03,0.0208,1.22,1.23,1.2,1.23,383,8.33,nan
Medasys,328000000,2018-12-28,15:09:33,0.29,0,0,0.29,0.29,0.29,0.29,1120,4.89,nan
Media Lab SpA,nan,2018-12-19,03:01:05,3.48,0.01,0.0029,3.48,3.48,3.48,3.48,500,nan,nan
Memscap SA,140100000,2018-12-28,17:10:32,1.94,0.04,0.0184,1.85,1.9,1.85,1.95,4340,16.13,nan
Mersen SA,4672000000,2018-12-28,17:35:28,22.85,0.1,0.0044,22.8,23.5,22.75,23.6,48145,10.48,0.0328
Microwave Vision,566700000,2018-12-28,17:23:53,9.02,0.1,0.011,9.02,9.06,8.98,9.04,1997,45.1,nan
Mulann SA,nan,2018-12-28,17:30:29,0.06,0.02,0.375,0.04,0.06,0.06,0.06,20,0.07,nan
Multimicrocloud SA,nan,2018-12-28,16:30:22,0.54,0.1,0.2159,0.01,0.54,0.54,0.54,11,nan,nan
Neocom Multimedia,60500000,2018-12-19,03:01:07,3.96,0.36,0.1,3.5,3.96,3.96,3.96,254,9.66,0.0707
Netgem SA,270100000,2018-12-28,16:35:32,0.98,0.04,0.0426,0.94,1.01,0.94,1,19464,8.17,0.102
Neurones,4534000000,2018-12-28,17:35:00,18.7,0.45,0.0247,18.4,18.9,18.25,18.7,867,16.7,0.0032
Nokia Oyj,281300000000,2018-12-28,17:35:09,5.03,0.18,0.036,4.95,5.05,4.88,5.04,523586,25.16,0.0378
NOVADAY,nan,2018-09-08,03:01:49,0.15,0,0,0,0.15,0.15,0.15,1,nan,nan
Novatech Industries,nan,2018-12-21,03:00:53,6.3,1.2,0.16,6.2,8.1,6.3,6.3,2,nan,nan
NSE Industries,279800000,2018-12-28,11:29:44,8.9,0.15,0.0171,8.7,9.1,8.75,8.9,201,327.71,nan
Oceasoft SA,22600000,2018-12-28,17:35:06,0.78,0.08,0.1143,0.71,0.82,0.71,0.78,1690,1.21,nan
OCTO Technology SA,nan,--,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,0.0187
Octopus Robots SA,127800000,2018-12-28,16:32:51,7,0.2,0.0294,6.35,8,7,7,1408,nan,nan
Onlineformapro,nan,2018-12-08,03:01:09,2.16,1.14,0.3455,2.14,2.16,2.16,2.16,589,nan,nan
Ordissimo SA,115400000,2018-12-28,12:48:00,4.6,0.09,0.0211,4,4.6,4.1,4.6,270,nan,nan
Oxatis,86300000,2018-12-28,17:35:01,3,0.22,0.0772,2.78,3,2.79,3,1324,3.8,nan
Pacte Novation SA,nan,2018-12-04,03:01:07,2.78,0.64,0.1871,2.78,3.04,2.78,2.78,5,9.2,nan
Paragon ID,232300000,2018-12-28,16:50:53,14,1.5,0.12,13,14.4,12.52,14.5,481,nan,nan
Parrot SA,946000000,2018-12-28,17:35:22,3.21,0,0.0016,3.2,3.21,3.2,3.22,95089,0.89,nan
Pharmagest Interactive,7639000000,2018-12-28,17:35:25,51.1,0.7,0.0139,51.1,51.5,50.2,51.5,2223,33.52,0.0147
Photonike Capital SA,nan,2017-06-10,03:01:05,7.85,0.05,0.0064,7.85,7.85,7.85,7.85,600,nan,nan
Planet Media,119800000,2018-12-28,09:00:26,2.52,0.12,0.05,2.38,2.7,2.52,2.52,1,9.5,0.0317
Precia,941100000,2018-12-28,16:54:04,171,7,0.0393,170,195,170,172,77,15.27,0.014
Prodware SA,666400000,2018-12-28,17:35:28,8.65,0.51,0.0627,8.37,8.71,8.16,8.65,12504,8.3,0.0069
Prologue SA,163900000,2018-12-28,17:35:08,0.37,0.01,0.0151,0.37,0.38,0.37,0.38,42021,5.95,nan
ProVenture Gold Inc,nan,--,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,nan
Quotium Technologies,310300000,2018-12-13,03:00:53,18.8,2.2,0.1048,22,18.8,18.8,18.8,1,30.32,nan
Reworld Media,521100000,2018-12-28,17:11:19,1.42,0.02,0.0139,1.37,1.42,1.42,1.47,2444,32.59,nan
Rexel SA,28000000000,2018-12-28,17:35:12,9.28,0.28,0.0307,9.25,9.35,9.09,9.3,526629,26.5,0.0453
Riber,393000000,2018-12-28,17:35:07,1.89,0.17,0.0977,1.85,1.89,1.73,1.94,79719,9.94,0.0265
Scientific Brain Training,nan,2018-12-11,03:01:09,8.5,0.3,0.0341,5,8.45,8.5,8.5,10,34,nan
Securinfor,nan,2018-12-17,11:30:11,40,2,0.0526,27,45,40,40,5,nan,0.0575
Semplicemente S.p.A,nan,--,,0.81,nan,nan,0.81,nan,NULL,NULL,nan,nan,nan
SES-imagotag SA,2338000000,2018-12-28,17:35:12,17.32,0.56,0.0334,17.1,17.4,16.62,17.9,24301,11.03,nan
Sidetrade SA,657500000,2018-12-28,17:29:47,50,1,0.0204,49.7,50.2,49,50.4,1534,35.41,nan
Societe O2I,117300000,2018-12-28,17:35:01,0.97,0.01,0.0104,0.95,0.97,0.93,0.97,1661,45.22,nan
Societe Pour L'Informatique Industrielle,3995000000,2018-12-28,17:35:04,20.1,0.65,0.0334,19.6,20.2,19.45,20.2,7393,15.58,0.0075
Sodifrance SA,581400000,2018-12-28,15:47:19,16,0.9,0.0596,16,16.6,16,16,9,34.78,0.0144
Soft Computing,510000000,2018-12-28,15:59:39,24.4,0,0,24.4,24.8,24.4,24.8,3056,20.68,0.0205
Soitec SA,15700000000,2018-12-28,17:35:20,50.15,0.81,0.0164,49.78,50.25,49.58,51,90636,17.17,nan
Solocal Group SA,2799000000,2018-12-28,17:35:13,0.48,0.01,0.0283,0.48,0.49,0.47,0.5,1251301,0.19,nan
Solutions 30 SE,8782000000,2018-12-28,17:35:00,8.44,0.02,0.0024,8.39,8.48,8.3,8.62,103554,64.55,nan
Sopra Steria Group SA,16100000000,2018-12-28,17:35:21,79.5,2.85,0.0372,77.2,80.3,76.7,80.15,21036,11.2,0.0302
SQLI SA,690400000,2018-12-28,17:35:20,15.8,0.42,0.0273,15.74,15.82,15.24,15.88,4257,34.84,nan
STMicroelectronics NV,109900000000,2018-12-28,17:35:13,12.24,0.37,0.0307,12.09,12.29,11.96,12.3,2221346,nan,0.0168
Streamwide,210900000,2018-12-28,11:30:09,7.2,0,0,7.1,7.3,7.2,7.2,1,7.91,nan
Swiss Fintec Invest AG,nan,2018-12-28,11:30:05,0.24,0.01,0.04,0.23,0.25,0.24,0.24,14800,nan,nan
Sword Group,2755000000,2018-12-28,17:35:04,28.9,0.1,0.0034,28.85,29.3,28.5,29.4,8667,26.51,0.0415
Technofirst SA,606270,2018-12-28,16:34:51,0.14,0,0,0.14,0.23,0.14,0.14,788,1.01,nan
Tessi,3216000000,2018-12-28,16:48:57,114.5,3.5,0.0315,111.5,116,111.5,114.5,429,10.24,nan
Tonna Electronique,nan,2018-06-22,07:15:00,0.41,0,0,0.41,0.41,0.41,0.41,5,0.26,nan
Traqueur SA,34000000,2018-12-28,11:30:04,1.03,0.01,0.0096,1,1.04,1.03,1.03,1,0.25,nan
Travel Technology Interactive SA,72500000,2018-12-15,03:00:53,1.1,0,0,0.02,1.31,1.1,1.1,2630,22,nan
Tronics Microsystems,409100000,2018-12-28,03:01:07,11.1,0,0,11.1,13,11.1,11.1,128,6.19,nan
Txcom,55900000,2018-12-28,16:30:10,4.54,0.36,0.0735,4.54,5.7,4.54,4.54,210,11.43,0.0352
Ubisoft Entertainment,76700000000,2018-12-28,17:36:48,69.76,2.52,0.0375,68.34,69.88,67.38,69.76,302104,59.12,nan
Umanis NR,1574000000,2018-12-28,16:57:47,8.52,0.46,0.0571,8.52,8.54,8.2,8.52,3889,9.26,0.0141
Union Technologies Informatique Group,45700000,2018-12-28,17:28:51,0.52,0.02,0.0336,0.51,0.53,0.52,0.53,3538,4.32,nan
Visiativ SA,587100000,2018-12-28,17:35:28,14.94,0.38,0.0261,14.64,15,14.56,15,4848,12.49,nan
Visiodent SA,98900000,2018-12-28,16:30:08,2.2,0,0,2.2,2.42,2.2,2.2,330,24.57,0.05
VOGO SA,363300000,2018-12-28,15:38:14,10.7,0.2,0.0183,10.5,11,10.7,10.9,101,nan,nan
Voluntis SA,303900000,2018-12-28,15:35:37,4.86,0.12,0.0253,4.62,4.94,4.72,4.86,454,3.03,nan
Wallix Group SA,718000000,2018-12-28,17:35:12,12.5,0.8,0.0684,12.15,12.8,11.6,12.8,9353,48.08,nan
Wavestone SA,4630000000,2018-12-28,17:35:05,23.1,0.1,0.0043,22,24,22.8,23.45,7801,17.11,0.0088
Weborama SA,279500000,2018-12-28,09:00:24,6.85,0.05,0.0072,6.75,6.95,6.85,6.85,1,9.76,nan
Wedia,192600000,2018-12-28,09:00:04,22.5,0.5,0.0227,22,24,22.5,22.5,1,26.96,0.0084
Witbe SA,208700000,2018-12-28,16:39:52,5.28,0.08,0.0154,5.2,5.28,5.2,5.28,335,5.08,nan
X-FAB Silicon Foundries SE,5415000000,2018-12-28,17:35:00,4.15,0.01,0.0024,4.1,4.25,4.12,4.3,113397,nan,nan
陽電控股有限公司,nan,2016-12-09,03:01:09,0.01,0,0,0.01,1.75,0.01,0.01,650,nan,nan
